id,propositions,nl_sentence,dataset_tl
3675,"['venture_to_waste_basket', 'go_visit_house']",at any time venture to waste basket can infer that at any time go visit house,F(venture_to_waste_basket)->F(go_visit_house)
2666,"['visit_house', 'drop_pear']",at some time visit house or never drop pear,F(visit_house)|G(~(drop_pear))
2101,"['collect_orange', 'move_to_house']",whenever collect orange and move to house,F(collect_orange)&move_to_house
2949,"['pick_up_anything', 'travel_to_tree']",don't pick up anything or travel to tree,~(F(pick_up_anything))|travel_to_tree
4479,"['tax_apple', 'collect_pear']",at some time tax apple and collect pear,F(tax_apple)&collect_pear
5955,"['travel_house', 'acquire_pear']",when possible travel house or at any time acquire pear,F(travel_house)|F(acquire_pear)
2869,"['travel_to_house', 'let_go_apple']",at some time travel to house or whenever let go apple,F(travel_to_house)|F(let_go_apple)
3763,"['gather_orange', 'reach_tree']",gather orange or when possible reach tree,gather_orange|F(reach_tree)
5462,"['venture_house', 'visit_house']",at any time venture house and whenever visit house,F(venture_house)&F(visit_house)
1986,"['present_at_flag', 'go_by_waste_basket']",at some time present at flag until at some time go by waste basket,F(present_at_flag)UF(go_by_waste_basket)
1052,"['present_at_flag', 'go_by_waste_basket']",at any time present at flag or whenever go by waste basket,F(present_at_flag)|F(go_by_waste_basket)
1390,"['gather_apple', 'reach_trash_can']",gather apple and reach trash can,gather_apple&reach_trash_can
5848,"['travel_by_tree', 'put_in_bin']",when possible travel by tree or put in bin,F(travel_by_tree)|put_in_bin
2383,"['hold_on_pear', 'be_in_houses_vicinity']",always hold on pear can infer that at some time be in house's vicinity,G(hold_on_pear)->F(be_in_houses_vicinity)
1259,"['present_at_flag', 'bring_pear']",whenever present at flag until at any time bring pear,F(present_at_flag)UF(bring_pear)
1782,"['spend_time_at_tree', 'journey_by_flag']",whenever spend time at tree until whenever journey by flag,F(spend_time_at_tree)UF(journey_by_flag)
5017,"['travel_to_house', 'go_past_house']",at some time travel to house or at any time go past house,F(travel_to_house)|F(go_past_house)
2248,"['grab_apple', 'collect_apple']",when possible grab apple or when possible collect apple,F(grab_apple)|F(collect_apple)
2365,"['come_home', 'drop_apple']",whenever come home and never drop apple,F(come_home)&G(~(drop_apple))
1674,"['go_by_waste_basket', 'reach_flag']",when possible go by waste basket and at any time reach flag,F(go_by_waste_basket)&F(reach_flag)
5352,"['go_to_trash_can', 'grab_orange']",whenever go to trash can or at some time grab orange,F(go_to_trash_can)|F(grab_orange)
1755,"['make_to_flag', 'travel_to_apple']",at some time make to flag or travel to apple,F(make_to_flag)|travel_to_apple
3432,"['journey_to_house', 'go_to_waste_basket']",at any time journey to house or repeatedly go to waste basket,F(journey_to_house)|G(F(go_to_waste_basket))
1696,"['bring_pear', 'withhold_apple']",whenever bring pear and whenever withhold apple,F(bring_pear)&F(withhold_apple)
1184,"['let_go_pear', 'get_to_flag']",do not let go pear until whenever get to flag,~(let_go_pear)UF(get_to_flag)
3572,"['go_past_house', 'pass_by_trash_bin']","if at any time go past house , whenever pass by trash bin",F(go_past_house)->F(pass_by_trash_bin)
2229,"['have_apple', 'grab_apple']",forever have apple or at some time grab apple,G(have_apple)|F(grab_apple)
1918,"['approach_house', 'go_to_trash_can']",at any time approach house or whenever go to trash can,F(approach_house)|F(go_to_trash_can)
1960,"['journey_by_flag', 'drop_pear']",at some time journey by flag and drop pear,F(journey_by_flag)&drop_pear
1475,"['travel_to_trash_can', 'take_to_trash_can']","when at any time travel to trash can , take to trash can",F(travel_to_trash_can)->take_to_trash_can
4828,"['go_past_flag', 'touch_house']",at some time go past flag and when possible touch house,F(go_past_flag)&F(touch_house)
